	n_genes_by_counts	total_counts	n_counts	Patient	Tissue	Sequencing
Hou_blood_WES__BGI_LC-1	124	131.0	131.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-100	167	185.0	185.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-11	63	67.0	67.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-12	81	88.0	88.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-13	62	65.0	65.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-15	67	70.0	70.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-16	151	163.0	163.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-18	122	129.0	129.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-19	100	105.0	105.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-2	77	84.0	84.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-20	113	123.0	123.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-21	82	89.0	89.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-22	141	152.0	152.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-24	111	123.0	123.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-25	136	149.0	149.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-26	104	115.0	115.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-27	88	95.0	95.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-29	142	152.0	152.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-3	129	139.0	139.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-30	111	121.0	121.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-31	107	121.0	121.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-34	51	56.0	56.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-35	109	114.0	114.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-36	87	96.0	96.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-37	113	124.0	123.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-39	55	62.0	62.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-40	135	147.0	147.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-41	112	119.0	119.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-43	120	130.0	130.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-44	142	151.0	151.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-45	138	152.0	152.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-47	177	194.0	194.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-48	181	196.0	196.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-49	218	237.0	237.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-5	129	137.0	137.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-50	157	176.0	175.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-52	196	213.0	213.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-54	149	163.0	163.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-56	216	234.0	234.0	Hou	blood	WES
